"ITTER107","Territorio","SEXISTAT1","Sesso","ETA1","Classe di età","TIME","Seleziona periodo","Value","Flag Codes","Flags"
"ITD3","Veneto","2","femmine","Y_GE15","15 anni e più","2018","2018",920.675,,
"ITD3","Veneto","2","femmine","Y_GE15","15 anni e più","2018-Q2","T2-2018",923.217,,
"ITD3","Veneto","2","femmine","Y_GE15","15 anni e più","2018-Q1","T1-2018",921.202,,
"ITD3","Veneto","2","femmine","Y_GE15","15 anni e più","2018-Q4","T4-2018",919.217,,
"ITD3","Veneto","2","femmine","Y_GE15","15 anni e più","2018-Q3","T3-2018",919.067,,
"ITD4","Friuli-Venezia Giulia","9","totale","Y_GE15","15 anni e più","2013","2013",495.522,,
"ITD4","Friuli-Venezia Giulia","9","totale","Y_GE15","15 anni e più","2013-Q1","T1-2013",498.001,,
"ITD4","Friuli-Venezia Giulia","9","totale","Y_GE15","15 anni e più","2013-Q2","T2-2013",490.35,,
"ITD4","Friuli-Venezia Giulia","9","totale","Y_GE15","15 anni e più","2013-Q4","T4-2013",500.207,,
"ITD4","Friuli-Venezia Giulia","9","totale","Y_GE15","15 anni e più","2013-Q3","T3-2013",493.529,,
"ITD4","Friuli-Venezia Giulia","9","totale","Y_GE15","15 anni e più","2014","2014",494.896,,
"ITD4","Friuli-Venezia Giulia","9","totale","Y_GE15","15 anni e più","2014-Q2","T2-2014",501.995,,
"ITD4","Friuli-Venezia Giulia","9","totale","Y_GE15","15 anni e più","2014-Q1","T1-2014",494.832,,
"ITD4","Friuli-Venezia Giulia","9","totale","Y_GE15","15 anni e più","2014-Q4","T4-2014",485.582,,
"ITD4","Friuli-Venezia Giulia","9","totale","Y_GE15","15 anni e più","2014-Q3","T3-2014",497.174,,
"ITD4","Friuli-Venezia Giulia","9","totale","Y_GE15","15 anni e più","2015","2015",495.55,,
"ITD4","Friuli-Venezia Giulia","9","totale","Y_GE15","15 anni e più","2015-Q1","T1-2015",491.487,,
"ITD4","Friuli-Venezia Giulia","9","totale","Y_GE15","15 anni e più","2015-Q2","T2-2015",497.211,,
"ITD4","Friuli-Venezia Giulia","9","totale","Y_GE15","15 anni e più","2015-Q4","T4-2015",493.991,,
"ITD4","Friuli-Venezia Giulia","9","totale","Y_GE15","15 anni e più","2015-Q3","T3-2015",499.511,,
"ITD4","Friuli-Venezia Giulia","9","totale","Y_GE15","15 anni e più","2016","2016",498.641,,
"ITD4","Friuli-Venezia Giulia","9","totale","Y_GE15","15 anni e più","2016-Q2","T2-2016",497.491,,
"ITD4","Friuli-Venezia Giulia","9","totale","Y_GE15","15 anni e più","2016-Q1","T1-2016",496.683,,
"ITD4","Friuli-Venezia Giulia","9","totale","Y_GE15","15 anni e più","2016-Q4","T4-2016",501.298,,
"ITD4","Friuli-Venezia Giulia","9","totale","Y_GE15","15 anni e più","2016-Q3","T3-2016",499.091,,
"ITD4","Friuli-Venezia Giulia","9","totale","Y_GE15","15 anni e più","2017","2017",505.12,,
"ITD4","Friuli-Venezia Giulia","9","totale","Y_GE15","15 anni e più","2017-Q1","T1-2017",499.022,,
"ITD4","Friuli-Venezia Giulia","9","totale","Y_GE15","15 anni e più","2017-Q2","T2-2017",508.007,,
"ITD4","Friuli-Venezia Giulia","9","totale","Y_GE15","15 anni e più","2017-Q4","T4-2017",503.474,,
"ITD4","Friuli-Venezia Giulia","9","totale","Y_GE15","15 anni e più","2017-Q3","T3-2017",509.978,,
"ITD4","Friuli-Venezia Giulia","9","totale","Y_GE15","15 anni e più","2018","2018",510.768,,
"ITD4","Friuli-Venezia Giulia","9","totale","Y_GE15","15 anni e più","2018-Q2","T2-2018",513.555,,
"ITD4","Friuli-Venezia Giulia","9","totale","Y_GE15","15 anni e più","2018-Q1","T1-2018",499.13,,
"ITD4","Friuli-Venezia Giulia","9","totale","Y_GE15","15 anni e più","2018-Q4","T4-2018",507.187,,
"ITD4","Friuli-Venezia Giulia","9","totale","Y_GE15","15 anni e più","2018-Q3","T3-2018",523.2,,
"ITE3","Marche","2","femmine","Y_GE15","15 anni e più","2013","2013",268.972,,
"ITE3","Marche","2","femmine","Y_GE15","15 anni e più","2013-Q1","T1-2013",269.6,,
"ITE3","Marche","2","femmine","Y_GE15","15 anni e più","2013-Q2","T2-2013",274.377,,
"ITE3","Marche","2","femmine","Y_GE15","15 anni e più","2013-Q4","T4-2013",260.856,,
"ITE3","Marche","2","femmine","Y_GE15","15 anni e più","2013-Q3","T3-2013",271.055,,
"ITE3","Marche","2","femmine","Y_GE15","15 anni e più","2014","2014",274.35,,
"ITE3","Marche","2","femmine","Y_GE15","15 anni e più","2014-Q2","T2-2014",274.892,,
"ITE3","Marche","2","femmine","Y_GE15","15 anni e più","2014-Q1","T1-2014",267.161,,
"ITE3","Marche","2","femmine","Y_GE15","15 anni e più","2014-Q4","T4-2014",276.071,,
"ITE3","Marche","2","femmine","Y_GE15","15 anni e più","2014-Q3","T3-2014",279.274,,
"ITE3","Marche","2","femmine","Y_GE15","15 anni e più","2015","2015",271.154,,
"ITE3","Marche","2","femmine","Y_GE15","15 anni e più","2015-Q1","T1-2015",261.646,,
"ITE3","Marche","2","femmine","Y_GE15","15 anni e più","2015-Q2","T2-2015",272.913,,
"ITE3","Marche","2","femmine","Y_GE15","15 anni e più","2015-Q4","T4-2015",269.345,,
"ITE3","Marche","2","femmine","Y_GE15","15 anni e più","2015-Q3","T3-2015",280.711,,
"ITE3","Marche","2","femmine","Y_GE15","15 anni e più","2016","2016",269.646,,
"ITE3","Marche","2","femmine","Y_GE15","15 anni e più","2016-Q2","T2-2016",276.748,,
"ITE3","Marche","2","femmine","Y_GE15","15 anni e più","2016-Q1","T1-2016",261.382,,
"ITE3","Marche","2","femmine","Y_GE15","15 anni e più","2016-Q4","T4-2016",265.243,,
"ITE3","Marche","2","femmine","Y_GE15","15 anni e più","2016-Q3","T3-2016",275.209,,
"ITE3","Marche","2","femmine","Y_GE15","15 anni e più","2017","2017",267.363,,
"ITE3","Marche","2","femmine","Y_GE15","15 anni e più","2017-Q1","T1-2017",260.94,,
